COUNTY,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
29,California,Kern ,900202,461034,439168,379621,361338,30296,25986,11946,11772,23750,24529,1216,1238,14205,14305,392442,374256,34912,30670,17937,17906,28934,29595,2164,2198,207005,201652,148973,146742,25692,21284,2652,2824,20853,21547,537,555,8298,8700,156393,154532,28693,24425,5183,5646,24497,25213,1150,1187,254029,237516,230648,214596,4604,4702,9294,8948,2897,2982,679,683,5907,5605,236049,219724,6219,6245,12754,12260,4437,4382,1014,1011
31,California,Kings ,152940,84342,68598,67356,56291,7772,3645,2574,2331,3301,3413,269,268,3070,2650,70107,58681,8810,4547,3566,3187,4591,4482,536,511,38519,29907,26321,21617,6820,2842,682,669,2769,3018,161,150,1766,1611,27893,23065,7482,3423,1065,1033,3638,3789,312,301,45823,38691,41035,34674,952,803,1892,1662,532,395,108,118,1304,1039,42214,35616,1328,1124,2501,2154,953,693,224,210
33,California,Lake ,64386,32194,32192,27976,28072,746,605,1454,1426,412,476,94,102,1512,1511,29308,29425,1154,1001,2274,2246,787,820,250,267,24897,25318,21977,22390,653,503,795,834,349,407,72,79,1051,1105,22901,23375,963,813,1303,1383,644,693,190,204,7297,6874,5999,5682,93,102,659,592,63,69,22,23,461,406,6407,6050,191,188,971,863,143,127,60,63
35,California,Lassen ,30573,19026,11547,14780,9960,2393,176,787,514,268,221,134,129,664,547,15382,10472,2582,329,1106,793,440,333,184,174,14757,9906,11181,8615,2284,148,499,364,198,201,118,127,477,451,11606,9037,2433,266,714,587,326,304,158,168,4269,1641,3599,1345,109,28,288,150,70,20,16,2,187,96,3776,1435,149,63,392,206,114,29,26,6
37,California,Los Angeles ,10039107,4949041,5090066,3552806,3545503,426817,472349,73361,70607,722516,822929,18174,18477,155367,160201,3687844,3684090,476675,524945,114903,114691,807269,908927,33135,34218,2514810,2642327,1318563,1297384,377548,420731,9141,9622,692425,792772,11275,11578,105858,110240,1409923,1392041,411631,457109,29508,32331,756720,858268,21816,22835,2434231,2447739,2234243,2248119,49269,51618,64220,60985,30091,30157,6899,6899,49509,49961,2277921,2292049,65044,67836,85395,82360,50549,50659,11319,11383
39,California,Madera ,157327,75885,81442,65900,69283,2268,4287,3462,3520,1955,2063,243,238,2057,2051,67761,71149,2760,4794,4548,4598,2534,2611,392,405,29763,35081,24575,27622,1542,3474,766,946,1567,1677,70,104,1243,1258,25687,28763,1876,3828,1308,1493,2005,2085,166,212,46122,46361,41325,41661,726,813,2696,2574,388,386,173,134,814,793,42074,42386,884,966,3240,3105,529,526,226,193
41,California,Marin ,258826,126617,132209,107935,112886,4630,2725,1490,1062,7237,9851,332,380,4993,5305,112551,117818,5811,3971,2663,2330,10207,12965,675,789,104839,111827,89165,94951,4218,2385,338,206,6967,9581,194,256,3957,4448,92875,99124,5157,3426,1051,1101,9519,12353,447,591,21778,20382,18770,17935,412,340,1152,856,270,270,138,124,1036,857,19676,18694,654,545,1612,1229,688,612,228,198
43,California,Mariposa ,17203,8764,8439,7801,7563,120,107,332,276,140,143,19,14,352,336,8127,7876,192,196,546,470,212,197,40,39,7706,7424,6923,6722,109,97,268,197,126,136,14,12,266,260,7170,6964,161,164,422,344,188,181,32,34,1058,1015,878,841,11,10,64,79,14,7,5,2,86,76,957,912,31,32,124,126,24,16,8,5
45,California,Mendocino ,86749,43021,43728,37022,37634,629,357,2764,2731,767,1213,106,122,1733,1671,38594,39157,1012,738,3773,3707,1187,1594,220,251,31342,33028,27233,28587,462,246,1661,1779,691,1125,60,70,1235,1221,28348,29700,771,550,2298,2425,1045,1447,143,168,11679,10700,9789,9047,167,111,1103,952,76,88,46,52,498,450,10246,9457,241,188,1475,1282,142,147,77,83
47,California,Merced ,277680,140185,137495,115016,113129,5682,5255,3590,3451,10903,10665,565,496,4429,4499,118924,117059,7125,6742,5268,5154,12644,12430,1037,1024,53965,54273,36322,37224,4348,3843,579,578,9972,9756,299,266,2445,2606,38465,39495,5216,4771,1217,1293,11143,10968,583,591,86220,83222,78694,75905,1334,1412,3011,2873,931,909,266,230,1984,1893,80459,77564,1909,1971,4051,3861,1501,1462,454,433
